Player ID,Player name,Opponent Team,Mat,Inns,NNO,Runs,HS,Not Out,Avg,BF,SR,100s,50s,0s,4s,6s
8733,KL Rahul,Hong Kong,1,1.0,0.0,36.0,36.0,0,36.0,39.0,92.3,0.0,0.0,0.0,0.0,2.0
8733,KL Rahul,Ireland,1,1.0,0.0,70.0,70.0,0,70.0,36.0,194.44,0.0,1.0,0.0,3.0,6.0
8733,KL Rahul,Namibia,1,1.0,1.0,54.0,54.0,1,,36.0,150.0,0.0,1.0,0.0,4.0,2.0
8733,KL Rahul,Netherlands,1,1.0,0.0,9.0,9.0,0,9.0,12.0,75.0,0.0,0.0,0.0,1.0,0.0
8733,KL Rahul,New Zealand,8,8.0,1.0,322.0,65.0,0,46.0,234.0,137.6,0.0,3.0,0.0,26.0,13.0
8733,KL Rahul,Pakistan,4,4.0,0.0,35.0,28.0,0,8.75,37.0,94.59,0.0,0.0,1.0,1.0,2.0
8733,KL Rahul,Scotland,1,1.0,0.0,50.0,50.0,0,50.0,19.0,263.15,0.0,1.0,0.0,6.0,3.0
8733,KL Rahul,South Africa,3,3.0,1.0,117.0,57.0,0,58.5,98.0,119.38,0.0,2.0,0.0,7.0,9.0
8733,KL Rahul,Sri Lanka,9,8.0,0.0,301.0,89.0,0,37.62,216.0,139.35,0.0,3.0,0.0,28.0,10.0
8733,KL Rahul,West Indies,9,8.0,2.0,353.0,110.0,1,58.83,222.0,159.0,1.0,2.0,0.0,37.0,15.0
8733,KL Rahul,Zimbabwe,4,4.0,1.0,120.0,51.0,0,40.0,96.0,125.0,0.0,1.0,1.0,8.0,6.0
8292,Kuldeep Yadav,Australia,6,2.0,1.0,20.0,16.0,0,20.0,20.0,100.0,0.0,0.0,0.0,2.0,0.0
8292,Kuldeep Yadav,New Zealand,5,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8292,Kuldeep Yadav,Sri Lanka,9,1.0,1.0,23.0,23.0,1,,28.0,82.14,0.0,0.0,0.0,0.0,0.0
8292,Kuldeep Yadav,West Indies,9,3.0,1.0,3.0,3.0,0,1.5,10.0,30.0,0.0,0.0,1.0,0.0,0.0
10808,Mohammed Siraj,Pakistan,1,1.0,1.0,7.0,7.0,1,,7.0,100.0,0.0,0.0,0.0,0.0,0.0
10808,Mohammed Siraj,South Africa,3,2.0,1.0,7.0,5.0,0,7.0,8.0,87.5,0.0,0.0,0.0,1.0,0.0
10808,Mohammed Siraj,Sri Lanka,5,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
10754,Mukesh Kumar,Australia,4,1.0,1.0,0.0,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0
10754,Mukesh Kumar,West Indies,5,2.0,2.0,5.0,4.0,1,,2.0,250.0,0.0,0.0,0.0,1.0,0.0
10754,Mukesh Kumar,Zimbabwe,3,1.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
14659,Ravi  Bishnoi,Australia,5,3.0,0.0,6.0,4.0,0,2.0,6.0,100.0,0.0,0.0,1.0,0.0,0.0
14659,Ravi  Bishnoi,England,1,1.0,0.0,2.0,2.0,0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0
14659,Ravi  Bishnoi,Pakistan,1,1.0,1.0,8.0,8.0,1,,2.0,400.0,0.0,0.0,0.0,2.0,0.0
14659,Ravi  Bishnoi,Sri Lanka,4,1.0,1.0,8.0,8.0,1,,8.0,100.0,0.0,0.0,0.0,1.0,0.0
14659,Ravi  Bishnoi,West Indies,7,1.0,1.0,8.0,8.0,1,,4.0,200.0,0.0,0.0,0.0,0.0,1.0
14659,Ravi  Bishnoi,Zimbabwe,5,1.0,0.0,9.0,9.0,0,9.0,8.0,112.5,0.0,0.0,0.0,2.0,0.0
587,Ravindra Jadeja,Afghanistan,3,1.0,0.0,7.0,7.0,0,7.0,5.0,140.0,0.0,0.0,0.0,1.0,0.0
