Bowler ID,Player Name,Opponent,Innings,Total Balls Bowled,Total Wickets,Total Runs Conceded,Economy,Total Dot Balls,Dot Ball %,Powerplay Balls,Powerplay Wickets,Powerplay Runs,Middle Overs Balls,Middle Overs Wickets,Middle Overs Runs,Death Overs Balls,Death Overs Wickets,Death Overs Runs
9647,Hardik Pandya,Sri Lanka,6,113,4,158,8.389380530973451,62,54.86725663716814,54,0,65,65,2,96,18,2,33
7836,Deepak Chahar,Afghanistan,1,24,0,28,7.0,8,33.33333333333333,24,0,30,12,0,12,12,0,14
13217,Arshdeep Singh,Afghanistan,4,84,9,103,7.357142857142858,53,63.095238095238095,42,2,43,18,0,15,36,8,52
8808,Axar Patel,Afghanistan,4,90,5,79,5.266666666666667,44,48.888888888888886,24,2,23,78,3,70,12,0,10
8808,Axar Patel,Australia,9,198,16,213,6.454545454545454,97,48.98989898989899,84,8,90,132,11,118,6,0,22
7910,Yuzvendra Chahal,Australia,3,50,3,76,9.120000000000001,14,28.000000000000004,18,0,28,48,2,82,4,2,8
9647,Hardik Pandya,Australia,4,60,0,102,10.2,23,38.333333333333336,12,0,27,48,0,82,12,0,15
9311,Jasprit Bumrah,Australia,3,60,2,104,10.4,18,30.0,30,2,55,18,0,33,24,1,39
7836,Deepak Chahar,South Africa,3,69,3,97,8.434782608695652,41,59.42028985507246,65,4,56,12,0,18,16,1,47
10808,Mohammed Siraj,South Africa,3,60,1,89,8.9,28,46.666666666666664,30,0,48,30,1,48,24,0,38
8808,Axar Patel,Sri Lanka,5,108,9,143,7.944444444444445,40,37.03703703703704,30,1,36,72,4,105,24,6,33
9647,Hardik Pandya,New Zealand,3,66,5,75,6.818181818181818,28,42.42424242424242,36,2,53,30,2,20,18,1,36
8292,Kuldeep Yadav,New Zealand,3,54,2,49,5.444444444444445,21,38.88888888888889,0,0,0,72,3,64,6,0,5
10754,Mukesh Kumar,West Indies,5,77,3,114,8.883116883116884,21,27.27272727272727,18,0,28,18,1,25,59,2,85
14504,Tilak Verma,West Indies,1,12,1,17,8.5,5,41.66666666666667,0,0,0,12,2,10,12,0,24
13940,Yashasvi Jaiswal,West Indies,1,6,0,11,11.0,1,16.666666666666664,0,0,0,0,0,0,12,0,22
9311,Jasprit Bumrah,Ireland,3,62,6,54,5.225806451612903,47,75.80645161290323,32,4,28,18,2,14,36,2,36
13217,Arshdeep Singh,Ireland,3,68,5,99,8.735294117647058,49,72.05882352941177,50,2,53,0,0,0,42,4,81
11195,Shivam Dubey,Ireland,2,18,0,24,8.0,8,44.44444444444444,0,0,0,24,0,30,0,0,0
10945,Washington Sundar,Ireland,2,30,0,38,7.6,8,26.666666666666668,0,0,0,48,0,57,0,0,0
587,Ravindra Jadeja,South Africa,3,41,3,67,9.804878048780488,11,26.82926829268293,12,2,10,46,2,85,0,0,0
10754,Mukesh Kumar,South Africa,2,30,3,55,11.0,13,43.333333333333336,24,1,47,24,4,42,0,0,0
8292,Kuldeep Yadav,South Africa,3,59,6,88,8.949152542372882,21,35.59322033898305,18,0,32,59,7,82,0,0,0
14504,Tilak Verma,South Africa,1,6,0,4,4.0,3,50.0,0,0,0,12,0,8,0,0,0
13217,Arshdeep Singh,Australia,5,120,7,214,10.700000000000001,53,44.166666666666664,60,2,82,24,1,50,60,4,125
14659,Ravi Bishnoi,Australia,5,120,9,167,8.35,49,40.833333333333336,48,6,52,96,4,169,0,0,0
10754,Mukesh Kumar,Australia,4,96,5,147,9.1875,43,44.79166666666667,12,1,21,54,1,80,54,4,75
9781,Avesh Khan,Australia,3,72,2,109,9.083333333333332,29,40.27777777777778,36,2,50,24,0,30,36,1,66
7836,Deepak Chahar,Australia,1,24,2,44,11.0,7,29.166666666666668,24,0,58,12,2,18,12,2,12
10754,Mukesh Kumar,Afghanistan,3,65,4,115,10.615384615384615,30,46.15384615384615,53,1,81,0,0,0,36,5,68
10945,Washington Sundar,Afghanistan,3,54,3,69,7.666666666666666,23,42.592592592592595,12,0,8,36,2,50,24,1,39
11195,Shivam Dubey,Afghanistan,3,42,2,71,10.142857142857142,14,33.33333333333333,0,0,0,48,3,61,6,0,20
14659,Ravi Bishnoi,Afghanistan,3,69,4,118,10.26086956521739,22,31.88405797101449,27,3,38,48,1,81,12,0,34
9781,Avesh Khan,Afghanistan,1,24,1,55,13.75,9,37.5,24,0,36,12,0,40,12,2,34
8292,Kuldeep Yadav,Afghanistan,2,42,3,67,9.571428571428573,20,47.61904761904761,0,0,0,54,3,86,6,1,12
13217,Arshdeep Singh,Nepal,1,24,2,43,10.75,16,66.66666666666666,24,0,36,0,0,0,24,4,50
9781,Avesh Khan,Nepal,1,24,3,36,9.0,16,66.66666666666666,24,2,32,0,0,0,24,4,40
14659,Ravi Bishnoi,Nepal,1,24,3,25,6.25,12,50.0,12,0,12,36,6,38,0,0,0
10945,Washington Sundar,Nepal,1,6,0,11,11.0,2,33.33333333333333,0,0,0,12,0,22,0,0,0
11195,Shivam Dubey,Nepal,1,18,0,38,12.666666666666668,8,44.44444444444444,0,0,0,24,0,64,12,0,12
11195,Shivam Dubey,Bangladesh,1,6,0,10,10.0,2,33.33333333333333,12,0,20,0,0,0,0,0,0
10945,Washington Sundar,Bangladesh,1,24,2,15,3.75,17,70.83333333333334,24,4,8,24,0,22,0,0,0
14504,Tilak Verma,Bangladesh,1,12,1,6,3.0,9,75.0,0,0,0,24,2,12,0,0,0
14659,Ravi Bishnoi,Bangladesh,1,23,1,30,7.826086956521739,12,52.17391304347826,0,0,0,22,0,26,24,2,34
10808,Mohammed Siraj,Ireland,1,18,1,13,4.333333333333333,14,77.77777777777779,24,0,16,12,2,10,0,0,0
587,Ravindra Jadeja,Ireland,1,6,0,7,7.0,2,33.33333333333333,0,0,0,12,0,14,0,0,0
10808,Mohammed Siraj,Pakistan,1,24,0,20,5.0,13,54.166666666666664,24,0,16,12,0,6,12,0,18
9311,Jasprit Bumrah,Pakistan,1,24,3,15,3.75,15,62.5,24,2,18,12,2,6,12,2,6
13217,Arshdeep Singh,United States of America,1,24,4,9,2.25,18,75.0,24,4,8,12,2,2,12,2,8
10808,Mohammed Siraj,United States of America,1,24,1,25,6.25,11,45.83333333333333,24,0,24,12,0,12,12,2,14
9311,Jasprit Bumrah,United States of America,1,20,0,25,7.5,15,75.0,12,0,2,4,0,14,24,0,34
9647,Hardik Pandya,United States of America,1,24,2,15,3.75,19,79.16666666666666,12,0,2,24,2,26,12,2,2
11195,Shivam Dubey,United States of America,1,6,0,11,11.0,3,50.0,0,0,0,12,0,22,0,0,0
8808,Axar Patel,United States of America,1,18,1,25,8.333333333333332,6,33.33333333333333,0,0,0,36,2,50,0,0,0
9311,Jasprit Bumrah,Afghanistan,1,24,3,12,3.0,20,83.33333333333334,24,4,10,0,0,0,24,2,14
9647,Hardik Pandya,Afghanistan,1,12,0,15,7.5,9,75.0,0,0,0,24,0,30,0,0,0
587,Ravindra Jadeja,Afghanistan,1,18,1,20,6.666666666666667,4,22.22222222222222,0,0,0,36,2,40,0,0,0
9311,Jasprit Bumrah,Bangladesh,1,24,2,13,3.25,15,62.5,24,0,12,0,0,0,24,4,14
587,Ravindra Jadeja,Bangladesh,1,18,0,25,8.333333333333332,5,27.77777777777778,0,0,0,36,0,50,0,0,0
8292,Kuldeep Yadav,Bangladesh,1,24,3,19,4.75,11,45.83333333333333,0,0,0,48,6,38,0,0,0
8292,Kuldeep Yadav,Australia,1,24,2,24,6.0,9,37.5,0,0,0,48,4,48,0,0,0
587,Ravindra Jadeja,Australia,1,6,0,17,17.0,0,0.0,0,0,0,12,0,34,0,0,0
8292,Kuldeep Yadav,England,1,24,3,19,4.75,12,50.0,0,0,0,48,6,38,0,0,0
