Player ID,Player name,Vs_Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
10896,Rinku Singh,Zimbabwe,5,,,,,,,,,,,
12305,Riyan Parag,Sri Lanka,3,3,9.2,0,62,3,3|5,20.66,6.64,18.6,0,0
12305,Riyan Parag,Zimbabwe,3,1,1,0,5,0,,,5,,0,0
576,Rohit Sharma,Afghanistan,6,1,1,0,10,0,,,10,,0,0
576,Rohit Sharma,Australia,23,2,1.2,0,14,0,,,10.5,,0,0
576,Rohit Sharma,Bangladesh,13,,,,,,,,,,,
576,Rohit Sharma,England,16,1,1,0,16,0,,,16,,0,0
576,Rohit Sharma,Hong Kong,1,,,,,,,,,,,
576,Rohit Sharma,Ireland,4,,,,,,,,,,,
576,Rohit Sharma,Namibia,1,,,,,,,,,,,
576,Rohit Sharma,Netherlands,1,,,,,,,,,,,
576,Rohit Sharma,New Zealand,17,,,,,,,,,,,
576,Rohit Sharma,Pakistan,12,,,,,,,,,,,
576,Rohit Sharma,Scotland,1,,,,,,,,,,,
576,Rohit Sharma,South Africa,18,3,4,0,42,0,,,10.5,,0,0
576,Rohit Sharma,Sri Lanka,19,2,4,0,31,1,1|22,31,7.75,24,0,0
576,Rohit Sharma,U.A.E.,1,,,,,,,,,,,
576,Rohit Sharma,U.S.A.,1,,,,,,,,,,,
576,Rohit Sharma,West Indies,22,,,,,,,,,,,
576,Rohit Sharma,Zimbabwe,3,,,,,,,,,,,
11195,Shivam Dubey,Afghanistan,5,4,8,0,74,3,1|4,24.66,9.25,16,0,0
11195,Shivam Dubey,Australia,1,,,,,,,,,,,
11195,Shivam Dubey,Bangladesh,5,4,7.3,0,60,3,3|30,20,8,15,0,0
11195,Shivam Dubey,England,1,,,,,,,,,,,
11195,Shivam Dubey,Ireland,3,2,3,0,24,0,,,8,,0,0
11195,Shivam Dubey,Nepal,1,1,3,0,37,0,,,12.33,,0,0
11195,Shivam Dubey,New Zealand,5,5,9,0,102,2,1|16,51,11.33,27,0,0
11195,Shivam Dubey,Pakistan,1,,,,,,,,,,,
11195,Shivam Dubey,South Africa,1,,,,,,,,,,,
11195,Shivam Dubey,Sri Lanka,3,,,,,,,,,,,
11195,Shivam Dubey,U.S.A.,1,1,1,0,11,0,,,11,,0,0
11195,Shivam Dubey,West Indies,3,3,6,0,63,0,,,10.5,,0,0
11195,Shivam Dubey,Zimbabwe,3,3,8,0,63,3,2|25,21,7.87,16,0,0
14504,Tilak Verma,Afghanistan,2,,,,,,,,,,,
14504,Tilak Verma,Australia,3,,,,,,,,,,,
14504,Tilak Verma,Bangladesh,1,1,2,0,5,1,1|5,5,2.5,12,0,0
14504,Tilak Verma,Ireland,2,,,,,,,,,,,
14504,Tilak Verma,Nepal,1,,,,,,,,,,,
14504,Tilak Verma,South Africa,2,1,1,0,4,0,-,-,4,-,0,0
14504,Tilak Verma,West Indies,5,1,2,0,17,1,1|17,17,8.5,12,0,0
7915,Suryakumar Yadav,Afghanistan,3,,,,,,,,,,,
7915,Suryakumar Yadav,Australia,9,,,,,,,,,,,
7915,Suryakumar Yadav,Bangladesh,2,,,,,,,,,,,
7915,Suryakumar Yadav,England,8,,,,,,,,,,,
7915,Suryakumar Yadav,Hong Kong,1,,,,,,,,,,,
7915,Suryakumar Yadav,Ireland,3,,,,,,,,,,,
7915,Suryakumar Yadav,Namibia,1,,,,,,,,,,,
7915,Suryakumar Yadav,Netherlands,1,,,,,,,,,,,
7915,Suryakumar Yadav,New Zealand,8,,,,,,,,,,,
7915,Suryakumar Yadav,Pakistan,5,,,,,,,,,,,
7915,Suryakumar Yadav,Scotland,1,,,,,,,,,,,
7915,Suryakumar Yadav,South Africa,7,,,,,,,,,,,
7915,Suryakumar Yadav,Sri Lanka,8,1,1,0,5,2,2|5,2.5,5,3,0,0
7915,Suryakumar Yadav,U.S.A.,1,,,,,,,,,,,
7915,Suryakumar Yadav,West Indies,12,,,,,,,,,,,
7915,Suryakumar Yadav,Zimbabwe,1,,,,,,,,,,,
1413,Virat Kohli,Afghanistan,6,,,,,,,,,,,
1413,Virat Kohli,Australia,23,3,4,0,41,0,,,10.25,,0,0
1413,Virat Kohli,Bangladesh,6,,,,,,,,,,,
1413,Virat Kohli,England,21,3,6.4,0,45,2,1|13,22.5,6.75,20,0,0
1413,Virat Kohli,Hong Kong,1,1,1,0,6,0,,,6,,0,0
1413,Virat Kohli,Ireland,3,,,,,,,,,,,
1413,Virat Kohli,Namibia,1,,,,,,,,,,,
1413,Virat Kohli,Netherlands,1,,,,,,,,,,,
1413,Virat Kohli,New Zealand,10,1,3,0,27,0,,,9,,0,0
1413,Virat Kohli,Pakistan,11,2,5,0,42,1,1|21,42,8.4,30,0,0
1413,Virat Kohli,Scotland,1,,,,,,,,,,,
1413,Virat Kohli,South Africa,14,1,1,0,15,0,,,15,,0,0
1413,Virat Kohli,Sri Lanka,8,1,3,0,13,0,,,4.33,,0,0
1413,Virat Kohli,U.A.E.,1,,,,,,,,,,,
1413,Virat Kohli,U.S.A.,1,,,,,,,,,,,
1413,Virat Kohli,West Indies,14,1,1.4,0,15,1,1|15,15,9,10,0,0
1413,Virat Kohli,Zimbabwe,3,,,,,,,,,,,
10945,Washington Sundar,Afghanistan,4,4,12,0,91,3,3|18,30.33,7.58,24,0,0
10945,Washington Sundar,Australia,3,3,12,0,85,2,2|34,42.5,7.08,36,0,0
10945,Washington Sundar,Bangladesh,7,7,28,0,164,7,3|22,23.42,5.85,24,0,0
10945,Washington Sundar,England,5,5,15.3,0,138,4,2|29,34.5,8.9,23.2,0,0
10945,Washington Sundar,Ireland,2,2,5,0,38,0,,,7.6,,0,0
10945,Washington Sundar,Nepal,1,1,1,0,11,0,,,11,,0,0
10945,Washington Sundar,New Zealand,6,5,14,0,107,5,2|22,21.4,7.64,16.8,0,0
10945,Washington Sundar,South Africa,2,2,7,0,46,0,,,6.57,,0,0
10945,Washington Sundar,Sri Lanka,7,6,24,0,160,10,2|21,16,6.66,14.4,0,0
10945,Washington Sundar,West Indies,7,7,20,1,151,5,1|12,30.2,7.55,24,0,0
10945,Washington Sundar,Zimbabwe,5,5,18,0,93,8,3|15,11.62,5.16,13.5,0,0
7910,Yuzvendra Chahal,Australia,10,10,35.5,0,320,8,3|25,40,8.93,26.8,0,0
7910,Yuzvendra Chahal,Bangladesh,6,6,24,0,153,9,3|18,17,6.37,16,0,0
7910,Yuzvendra Chahal,England,11,11,42,0,338,16,6|25,21.12,8.04,15.7,0,1
7910,Yuzvendra Chahal,Hong Kong,1,1,4,0,18,0,,,4.5,,0,0
7910,Yuzvendra Chahal,Ireland,3,3,11,0,70,7,3|21,10,6.36,9.4,0,0
7910,Yuzvendra Chahal,New Zealand,14,14,51,1,400,11,2|26,36.36,7.84,27.8,0,0
7910,Yuzvendra Chahal,Pakistan,2,2,8,0,75,1,1|43,75,9.37,48,0,0
7910,Yuzvendra Chahal,South Africa,7,6,22.1,0,219,7,3|20,31.28,9.87,19,0,0
7910,Yuzvendra Chahal,Sri Lanka,13,13,47,0,399,23,4|23,17.34,8.48,12.2,2,0
7910,Yuzvendra Chahal,West Indies,10,10,37,0,328,11,2|19,29.81,8.86,20.1,0,0
7910,Yuzvendra Chahal,Zimbabwe,3,3,12,1,89,3,1|19,29.66,7.41,24,0,0
