MatchID,BatsmanName,BowlerName,FielderName,ModeOfDismissal
1796,SPD Smith,Yuzvendra Chahal,KD Karthik,stumped
1796,JP Inglis,Axar Patel,Rohit Sharma,caught
1796,MS Wade,Axar Patel,,caught and bowled
1796,TH David,HV Patel,Rohit Sharma,caught
1796,KL Rahul,DR Sams,MS Wade,caught
1796,Rohit Sharma,PJ Cummins,DR Sams,caught
1796,Suryakumar Yadav,JR Hazlewood,AJ Finch,caught
1796,Virat Kohli,DR Sams,AJ Finch,caught
1800,T Bavuma,Deepak Chahar,,bowled
1800,Q de Kock,Arshdeep Singh,,bowled
1800,RR Rossouw,Arshdeep Singh,Rishabh Pant,caught
1800,DA Miller,Arshdeep Singh,,bowled
1800,T Stubbs,Deepak Chahar,Arshdeep Singh,caught
1800,WD Parnell,Axar Patel,Suryakumar Yadav,caught
1800,Rohit Sharma,K Rabada,Q de Kock,caught
1800,Virat Kohli,A Nortje,Q de Kock,caught
1803,Rohit Sharma,KA Maharaj,T Stubbs,caught
1803,KL Rahul,KA Maharaj,,lbw
1803,Suryakumar Yadav,A Nortje,"T Bavuma, A Nortje",run out
1803,T Bavuma,Arshdeep Singh,Virat Kohli,caught
1803,RR Rossouw,Arshdeep Singh,KD Karthik,caught
1803,AK Markram,Axar Patel,,bowled
1805,T Bavuma,UT Yadav,Rohit Sharma,caught
1805,T Stubbs,Deepak Chahar,R Ashwin,caught
1805,Rohit Sharma,K Rabada,,bowled
1805,Shreyas Iyer,WD Parnell,,lbw
1805,Rishabh Pant,L Ngidi,T Stubbs,caught
1805,Suryakumar Yadav,D Pretorius,T Stubbs,caught
1805,Axar Patel,WD Parnell,Q de Kock,caught
1805,Deepak Chahar,D Pretorius,DA Miller,caught
1805,Mohammed Siraj,D Pretorius,DA Miller,caught
1984,Shubman Gill,M Theekshana,,lbw
1984,Suryakumar Yadav,C Karunaratne,PBB Rajapaksa,caught
1984,Sanju Samson,DM de Silva,D Madushanka,caught
1984,Ishan Kishan,PWH de Silva,DM de Silva,caught
1984,Hardik Pandya,D Madushanka,BKG Mendis,caught
1984,DM de Silva,Shivam Mavi,Sanju Samson,caught
1984,KIC Asalanka,Umran Malik,Ishan Kishan,caught
1984,BKG Mendis,HV Patel,Sanju Samson,caught
1984,PBB Rajapaksa,HV Patel,Hardik Pandya,caught
1984,PWH de Silva,Shivam Mavi,Hardik Pandya,caught
1984,MD Shanaka,Umran Malik,Yuzvendra Chahal,caught
1984,M Theekshana,Shivam Mavi,Suryakumar Yadav,caught
1984,CAK Rajitha,Axar Patel,"DJ Hooda, AR Patel",run out
1984,D Madushanka,Axar Patel,"Ishan Kishan, DJ Hooda",run out
1985,BKG Mendis,Yuzvendra Chahal,,lbw
1985,P Nissanka,Axar Patel,RA Tripathi,caught
1985,DM de Silva,Axar Patel,DJ Hooda,caught
1985,KIC Asalanka,Umran Malik,Shubman Gill,caught
1985,Ishan Kishan,CAK Rajitha,,bowled
1985,Shubman Gill,CAK Rajitha,M Theekshana,caught
1985,Hardik Pandya,C Karunaratne,BKG Mendis,caught
1985,Suryakumar Yadav,D Madushanka,PWH de Silva,caught
1985,Axar Patel,MD Shanaka,C Karunaratne,caught
1986,Ishan Kishan,D Madushanka,DM de Silva,caught
1986,Shubman Gill,PWH de Silva,,bowled
1986,Hardik Pandya,CAK Rajitha,DM de Silva,caught
1986,BKG Mendis,Axar Patel,Umran Malik,caught
1986,P Nissanka,Arshdeep Singh,Shivam Mavi,caught
1986,WIA Fernando,Hardik Pandya,Arshdeep Singh,caught
1986,KIC Asalanka,Yuzvendra Chahal,Shivam Mavi,caught
1986,DM de Silva,Yuzvendra Chahal,Shubman Gill,caught
1986,C Karunaratne,Hardik Pandya,,lbw
1986,MD Shanaka,Arshdeep Singh,Axar Patel,caught
1986,D Madushanka,Arshdeep Singh,,bowled
1990,FH Allen,Washington Sundar,Suryakumar Yadav,caught
1990,MS Chapman,Washington Sundar,,caught and bowled
1990,GD Phillips,Kuldeep Yadav,Suryakumar Yadav,caught
1990,DP Conway,Arshdeep Singh,DJ Hooda,caught
1990,MG Bracewell,Arshdeep Singh,Ishan Kishan,run out
1990,Ishan Kishan,MG Bracewell,,bowled
1990,Shubman Gill,MJ Santner,FH Allen,caught
1990,Suryakumar Yadav,IS Sodhi,FH Allen,caught
1990,Hardik Pandya,MG Bracewell,,caught and bowled
1990,Washington Sundar,LH Ferguson,JA Duffy,caught
1991,FH Allen,Yuzvendra Chahal,,bowled
1991,DP Conway,Washington Sundar,Ishan Kishan,caught
1991,MG Bracewell,Hardik Pandya,Arshdeep Singh,caught
1991,IS Sodhi,Arshdeep Singh,Hardik Pandya,caught
1991,LH Ferguson,Arshdeep Singh,Washington Sundar,caught
1991,Shubman Gill,MG Bracewell,FH Allen,caught
1991,Ishan Kishan,GD Phillips,"GD Phillips, MJ Santner",run out
1991,Washington Sundar,GD Phillips,BM Tickner,run out
1992,Ishan Kishan,MG Bracewell,,lbw
1992,Suryakumar Yadav,BM Tickner,MG Bracewell,caught
1992,Hardik Pandya,DJ Mitchell,MG Bracewell,caught
1992,FH Allen,Hardik Pandya,Suryakumar Yadav,caught
1992,DP Conway,Arshdeep Singh,Hardik Pandya,caught
1992,MS Chapman,Arshdeep Singh,Ishan Kishan,caught
1992,GD Phillips,Hardik Pandya,Suryakumar Yadav,caught
1992,MJ Santner,Shivam Mavi,Suryakumar Yadav,caught
1992,LH Ferguson,Hardik Pandya,Umran Malik,caught
1992,BM Tickner,Hardik Pandya,Ishan Kishan,caught
2188,KR Mayers,Yuzvendra Chahal,,lbw
2188,BA King,Yuzvendra Chahal,,lbw
2188,J Charles,Kuldeep Yadav,Tilak Verma,caught
2188,N Pooran,Hardik Pandya,Tilak Verma,caught
2188,SO Hetmyer,Arshdeep Singh,Axar Patel,caught
2188,R Powell,Arshdeep Singh,Suryakumar Yadav,caught
2188,Shubman Gill,AJ Hosein,N Pooran,stumped
2188,Ishan Kishan,OC McCoy,R Powell,caught
2188,Suryakumar Yadav,JO Holder,SO Hetmyer,caught
2188,Tilak Verma,R Shepherd,SO Hetmyer,caught
2188,Hardik Pandya,JO Holder,,bowled
2188,Sanju Samson,JO Holder,KR Mayers,run out
2188,Axar Patel,OC McCoy,SO Hetmyer,caught
2188,Arshdeep Singh,R Shepherd,"N Pooran, SO Hetmyer",run out
2191,Shubman Gill,AS Joseph,SO Hetmyer,caught
2191,Suryakumar Yadav,OC McCoy,KR Mayers,run out
2191,Ishan Kishan,R Shepherd,,bowled
2191,Sanju Samson,AJ Hosein,N Pooran,stumped
2191,Tilak Verma,AJ Hosein,OC McCoy,caught
2191,Hardik Pandya,AS Joseph,,bowled
2191,Axar Patel,R Shepherd,N Pooran,caught
2191,BA King,Hardik Pandya,Suryakumar Yadav,caught
2191,J Charles,Hardik Pandya,Tilak Verma,caught
