Player ID,Player Name,Match Number,Catches,Run-Out,Stumpings
11813,Ruturaj Gaikwad,1569,1,0,0
11813,Ruturaj Gaikwad,1571,1,0,0
11813,Ruturaj Gaikwad,1572,4,0,0
11813,Ruturaj Gaikwad,1575,1,0,0
11813,Ruturaj Gaikwad,2200,1,0,0
11813,Ruturaj Gaikwad,2208,2,0,0
11813,Ruturaj Gaikwad,2278,1,0,0
11813,Ruturaj Gaikwad,2296,1,0,0
11813,Ruturaj Gaikwad,2360,0,1,0
11813,Ruturaj Gaikwad,2367,2,0,0
11813,Ruturaj Gaikwad,2379,1,0,0
11813,Ruturaj Gaikwad,2380,2,0,0
11813,Ruturaj Gaikwad,2737,1,0,0
11813,Ruturaj Gaikwad,2739,1,0,0
11813,Ruturaj Gaikwad,2749,1,0,0
576,Rohit Sharma,1467,2,0,0
576,Rohit Sharma,1473,1,0,0
576,Rohit Sharma,1479,2,0,0
576,Rohit Sharma,1492,1,0,0
576,Rohit Sharma,1493,1,0,0
576,Rohit Sharma,1494,1,0,0
576,Rohit Sharma,1616,1,0,0
576,Rohit Sharma,1628,3,1,0
576,Rohit Sharma,1631,1,0,0
576,Rohit Sharma,1702,1,0,0
576,Rohit Sharma,1718,1,0,0
576,Rohit Sharma,1720,0,0,0
576,Rohit Sharma,1725,0,0,0
576,Rohit Sharma,1750,1,0,0
576,Rohit Sharma,1754,1,0,0
576,Rohit Sharma,1758,2,0,0
576,Rohit Sharma,1759,2,0,0
576,Rohit Sharma,1788,1,0,0
576,Rohit Sharma,1796,3,0,0
576,Rohit Sharma,1800,1,0,0
576,Rohit Sharma,1803,1,0,0
576,Rohit Sharma,1805,1,0,0
576,Rohit Sharma,1842,1,0,0
576,Rohit Sharma,1848,1,0,0
576,Rohit Sharma,1853,0,0,0
576,Rohit Sharma,1860,1,0,0
576,Rohit Sharma,1873,2,0,0
576,Rohit Sharma,1878,1,0,0
576,Rohit Sharma,2428,1,1,0
576,Rohit Sharma,2431,1,0,0
576,Rohit Sharma,2435,0,1,0
576,Rohit Sharma,2639,0,0,0
