Player ID,Player Name,Overs Bowled,Balls_Bowled,Maidens,Runs Conceded,Wickets,Economy Rate,Dot Ball %,Boundary %,Extras Given,Wickets Per Over,Bowling Strike Rate,Bowling Average,Match Number
13217,Arshdeep Singh,4.0,25.0,0.0,26.0,1.0,6.5,44.0,12.0,1.0,0.34,25.0,26.0,1718
587,Ravindra Jadeja,3.0,18.0,0.0,16.0,1.0,5.33,44.44,5.56,0.0,0.47,18.0,16.0,1718
9647,Hardik Pandya,4.0,25.0,0.0,23.0,1.0,5.75,48.0,8.0,1.0,0.36,25.0,23.0,1718
9781,Avesh Khan,2.2,15.0,0.0,31.0,1.0,14.09,40.0,33.33,1.0,0.56,15.0,31.0,1718
9781,Avesh Khan,3.0,20.0,0.0,47.0,0.0,15.67,20.0,35.0,2.0,0.0,0.0,0.0,1720
9647,Hardik Pandya,4.0,24.0,0.0,22.0,1.0,5.5,54.17,8.33,0.0,0.38,24.0,22.0,1720
13217,Arshdeep Singh,4.0,24.0,0.0,33.0,2.0,8.25,33.33,20.83,0.0,0.61,12.0,16.5,1720
9781,Avesh Khan,4.0,25.0,0.0,17.0,2.0,4.25,60.0,8.0,1.0,0.78,12.5,8.5,1725
8808,Axar Patel,4.0,27.0,0.0,49.0,3.0,12.25,51.85,25.93,3.0,1.04,9.0,16.33,1725
13217,Arshdeep Singh,3.1,19.0,0.0,14.0,3.0,4.52,68.42,10.53,0.0,1.58,6.33,4.67,1725
14659,Ravi Bishnoi,4.0,24.0,0.0,27.0,2.0,6.75,58.33,16.67,0.0,0.75,12.0,13.5,1725
8808,Axar Patel,3.0,19.0,0.0,15.0,3.0,5.0,73.68,15.79,1.0,1.66,6.33,5.0,1726
13217,Arshdeep Singh,2.0,12.0,0.0,18.0,0.0,9.0,25.0,25.0,0.0,0.0,0.0,0.0,1726
9781,Avesh Khan,2.0,13.0,0.0,20.0,0.0,10.0,53.85,23.08,1.0,0.0,0.0,0.0,1726
9647,Hardik Pandya,2.0,12.0,0.0,19.0,0.0,9.5,25.0,16.67,0.0,0.0,0.0,0.0,1726
8292,Kuldeep Yadav,4.0,24.0,0.0,12.0,3.0,3.0,66.67,4.17,0.0,1.23,8.0,4.0,1726
14659,Ravi Bishnoi,2.0,18.0,0.0,16.0,4.0,8.0,77.78,11.11,6.0,3.44,4.5,4.0,1726
13217,Arshdeep Singh,2.2,20.0,0.0,29.0,0.0,13.18,50.0,15.0,6.0,0.0,0.0,0.0,1898
10808,Mohammed Siraj,4.0,25.0,0.0,25.0,2.0,6.25,56.0,12.0,1.0,0.75,12.5,12.5,1898
10945,Washington Sundar,2.0,12.0,0.0,24.0,1.0,12.0,25.0,33.33,0.0,0.54,12.0,24.0,1898
7910,Yuzvendra Chahal,4.0,24.0,0.0,26.0,2.0,6.5,25.0,4.17,0.0,0.61,12.0,13.0,1898
13217,Arshdeep Singh,4.0,26.0,0.0,42.0,5.0,10.5,57.69,26.92,2.0,1.8,5.2,8.4,1911
10808,Mohammed Siraj,4.0,25.0,0.0,17.0,4.0,4.25,60.0,8.0,1.0,1.56,6.25,4.25,1911
7910,Yuzvendra Chahal,3.0,18.0,0.0,35.0,0.0,11.67,22.22,27.78,0.0,0.0,0.0,0.0,1911
13217,Arshdeep Singh,3.5,25.0,0.0,33.0,2.0,9.43,60.0,20.0,2.0,0.86,12.5,16.5,1750
9647,Hardik Pandya,4.0,26.0,0.0,25.0,3.0,6.25,46.15,7.69,2.0,1.07,8.67,8.33,1750
9781,Avesh Khan,2.0,12.0,0.0,19.0,1.0,9.5,33.33,25.0,0.0,0.6,12.0,19.0,1750
7910,Yuzvendra Chahal,4.0,24.0,0.0,32.0,0.0,8.0,16.67,8.33,0.0,0.0,0.0,0.0,1750
587,Ravindra Jadeja,2.0,12.0,0.0,12.0,0.0,6.0,33.33,8.33,0.0,0.0,0.0,0.0,1750
13217,Arshdeep Singh,4.0,26.0,0.0,44.0,2.0,11.0,30.77,30.77,2.0,0.58,13.0,22.0,1754
587,Ravindra Jadeja,4.0,26.0,0.0,15.0,1.0,3.75,53.85,0.0,2.0,0.38,26.0,15.0,1754
9781,Avesh Khan,4.0,24.0,0.0,54.0,1.0,13.5,29.17,37.5,0.0,0.28,24.0,54.0,1754
7910,Yuzvendra Chahal,4.0,24.0,0.0,18.0,0.0,4.5,45.83,4.17,0.0,0.0,0.0,0.0,1754
1413,Virat Kohli,1.0,6.0,0.0,6.0,0.0,6.0,16.67,0.0,0.0,0.0,0.0,0.0,1754
13217,Arshdeep Singh,3.5,23.0,0.0,28.0,1.0,8.0,43.48,13.04,0.0,0.39,23.0,28.0,1758
14659,Ravi Bishnoi,4.0,27.0,0.0,27.0,1.0,6.75,40.74,3.7,3.0,0.35,27.0,27.0,1758
9647,Hardik Pandya,4.0,25.0,0.0,44.0,1.0,11.0,28.0,28.0,1.0,0.29,25.0,44.0,1758
7910,Yuzvendra Chahal,4.0,24.0,0.0,43.0,1.0,10.75,25.0,29.17,0.0,0.28,24.0,43.0,1758
13217,Arshdeep Singh,3.5,23.0,0.0,42.0,0.0,12.0,17.39,21.74,0.0,0.0,0.0,0.0,1759
9647,Hardik Pandya,4.0,24.0,0.0,36.0,0.0,9.0,25.0,16.67,0.0,0.0,0.0,0.0,1759
7910,Yuzvendra Chahal,4.0,25.0,0.0,34.0,3.0,8.5,40.0,16.0,1.0,0.99,8.33,11.33,1759
7836,Deepak Chahar,4.0,24.0,0.0,28.0,0.0,7.0,33.33,12.5,0.0,0.0,0.0,0.0,1761
13217,Arshdeep Singh,2.0,12.0,0.0,7.0,1.0,3.5,66.67,8.33,0.0,0.81,12.0,7.0,1761
8808,Axar Patel,4.0,24.0,0.0,24.0,0.0,6.0,41.67,12.5,0.0,0.0,0.0,0.0,1761
