ID,Player ID,Player name,In Batting Position,Mat,Inns,NNO,Runs,HS,Not out,Avg,BF,SR,100s,50s,0s,4s,6s
4,9428,Shreyas Iyer,5th position,13,13,3,179,67,0,17.9,155,115.48,0,1,2,13,4
4,9428,Shreyas Iyer,6th position,4,4,1,68,37,0,22.66,43,158.13,0,0,0,8,2
3,11808,Shubman Gill,1st position,3,3,0,20,11,0,6.66,19,105.26,0,0,0,3,0
3,11808,Shubman Gill,2nd position,18,18,2,558,126,1,34.87,396,140.9,1,3,1,57,22
32,7915,Suryakumar Yadav,2nd position,4,4,0,135,76,0,33.75,80,168.75,0,1,0,12,8
32,7915,Suryakumar Yadav,3rd position,16,16,2,563,111,1,40.21,336,167.55,1,5,2,60,28
32,7915,Suryakumar Yadav,4th position,42,42,8,1594,117,0,46.88,936,170.29,3,13,1,139,91
32,7915,Suryakumar Yadav,5th position,6,6,1,140,65,0,28,90,155.55,0,1,0,9,9
34,14504,Tilak Verma,3rd position,8,8,2,120,55,1,20,87,137.93,0,1,2,9,8
34,14504,Tilak Verma,4th position,4,4,1,166,51,0,55.33,118,140.67,0,1,0,14,7
34,14504,Tilak Verma,5th position,2,2,1,43,31,1,43,34,126.47,0,0,0,6,0
34,14504,Tilak Verma,6th position,1,1,1,7,7,1,,2,350,0,0,0,0,1
1,1413,Virat Kohli,1st position,5,5,0,119,39,0,23.8,86,138.37,0,0,0,18,2
1,1413,Virat Kohli,2nd position,12,12,2,432,122,1,43.2,296,145.94,1,3,2,38,16
1,1413,Virat Kohli,3rd position,80,80,23,3076,94,1,53.96,2274,135.26,0,32,4,276,79
1,1413,Virat Kohli,4th position,17,17,5,509,77,1,42.41,360,141.38,0,3,0,32,25
1,1413,Virat Kohli,5th position,1,1,1,26,26,1,,21,123.8,0,0,0,3,1
1,1413,Virat Kohli,6th position,2,2,0,26,26,0,13,19,136.84,0,0,1,2,1
35,10945,Washington Sundar,5th position,1,1,0,10,10,0,10,9,111.11,0,0,0,1,0
35,10945,Washington Sundar,6th position,1,1,0,50,50,0,50,28,178.57,0,1,0,5,3
35,10945,Washington Sundar,7th position,6,6,1,34,27,0,6.8,46,73.91,0,0,3,2,1
35,10945,Washington Sundar,8th position,8,8,5,58,25,0,19.33,38,152.63,0,0,1,3,4
35,10945,Washington Sundar,9th position,2,2,0,8,4,0,4,3,266.66,0,0,0,2,0
36,13940,Yashasvi Jaiswal,1st position,22,22,2,723,100,0,36.15,440,164.31,1,5,2,82,38
