Player ID,Player name,Opponent,Innings,Powerplay Total,Powerplay Zeros,Powerplay Ones,Powerplay Fours,Powerplay Sixes,Middle Overs Total,Middle Overs Zeros,Middle Overs Ones,Middle Overs Fours,Middle Overs Sixes,Death Overs Total,Death Overs Zeros,Death Overs Ones,Death Overs Fours,Death Overs Sixes,Total Zeros,Total Ones,Total Fours,Total Sixes
11195,Shivam Dubey,Afghanistan,4,20,15,7,0,1,102,11,30,9,5,12,1,2,1,1,27,39,10,7
11195,Shivam Dubey,Nepal,1,0,0,0,0,0,11,3,7,1,0,14,3,4,1,1,6,11,2,1
11195,Shivam Dubey,Pakistan,1,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,6,3,0,0
11195,Shivam Dubey,United States of America,1,0,0,0,0,0,27,16,13,1,1,4,1,2,0,0,17,15,1,1
11195,Shivam Dubey,Bangladesh,1,0,0,0,0,0,20,8,12,0,1,14,1,2,0,2,9,14,0,3
11195,Shivam Dubey,Australia,1,0,0,0,0,0,21,5,5,2,1,7,2,5,0,0,7,10,2,1
11195,Shivam Dubey,England,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11195,Shivam Dubey,South Africa,1,0,0,0,0,0,15,2,5,1,1,12,3,4,2,0,5,9,3,1
11195,Shivam Dubey,Zimbabwe,1,0,0,0,0,0,9,2,1,0,1,17,2,3,2,1,4,4,2,2
11195,Shivam Dubey,Sri Lanka,1,3,4,1,0,0,10,3,2,0,0,0,0,0,0,0,7,3,0,0
9428,Shreyas Iyer,England,1,4,0,2,0,0,24,8,10,0,2,0,0,0,0,0,8,12,0,2
9428,Shreyas Iyer,West Indies,5,66,20,21,8,1,53,10,19,5,2,0,0,0,0,0,30,40,13,3
9428,Shreyas Iyer,Sri Lanka,3,56,12,12,10,0,92,6,36,3,5,56,4,8,7,2,22,56,20,7
9428,Shreyas Iyer,South Africa,5,18,11,7,2,0,76,25,26,2,7,0,1,0,0,0,37,33,4,7
9428,Shreyas Iyer,New Zealand,2,0,1,0,0,0,13,4,3,1,1,0,0,0,0,0,5,3,1,1
9428,Shreyas Iyer,Australia,2,9,6,3,1,0,33,5,13,2,1,19,4,5,2,1,15,21,5,2
11808,Shubman Gill,Sri Lanka,5,66,20,14,7,3,51,11,19,3,1,0,0,0,0,0,31,33,10,4
11808,Shubman Gill,New Zealand,3,43,10,9,7,0,42,5,14,2,3,46,4,4,4,4,19,27,13,7
11808,Shubman Gill,West Indies,5,55,28,13,3,4,40,6,13,1,2,0,0,0,0,0,34,26,4,6
11808,Shubman Gill,South Africa,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
11808,Shubman Gill,Afghanistan,1,19,3,1,4,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0
11808,Shubman Gill,Zimbabwe,5,75,38,11,12,1,83,21,27,8,3,10,2,2,0,1,61,40,20,5
7915,Suryakumar Yadav,England,5,36,12,8,4,2,176,25,44,18,8,20,4,2,3,1,41,54,25,11
7915,Suryakumar Yadav,West Indies,11,149,43,36,13,8,177,34,55,14,10,59,7,11,4,5,84,102,31,23
7915,Suryakumar Yadav,Pakistan,4,20,7,2,3,0,33,10,17,3,0,0,0,0,0,0,17,19,6,0
7915,Suryakumar Yadav,Netherlands,1,0,0,0,0,0,26,2,4,5,0,25,2,5,2,1,4,9,7,1
7915,Suryakumar Yadav,South Africa,7,65,24,11,4,6,233,36,52,18,15,48,7,8,6,2,67,71,28,23
7915,Suryakumar Yadav,Bangladesh,2,0,0,0,0,0,36,3,6,4,1,0,0,0,0,0,3,6,4,1
7915,Suryakumar Yadav,Zimbabwe,1,0,0,0,0,0,14,2,4,2,0,47,4,1,4,4,6,5,6,4
7915,Suryakumar Yadav,Ireland,3,0,1,0,0,0,2,2,2,0,0,15,1,1,2,1,4,3,2,1
7915,Suryakumar Yadav,New Zealand,5,36,19,6,4,2,120,29,38,9,6,65,5,7,7,4,53,51,20,12
