Player ID,Player Name,Match Number,Overs Bowled,Balls_Bowled,Maidens,Runs Conceded,Wickets,Economy Rate,Dot Ball %,Boundary %,Extras Given,Impact Wickets Per Over,Bowling Strike Rate,Bowling Average
11195,Shivam Dubey,2200,1,6,0,6,0,6,50,16.67,0,0,0,0
10945,Washington Sundar,2200,3,18,0,19,0,6.33,22.22,5.56,0,0,0,0
9311,Jasprit Bumrah,2208,3.2,25,0,20,2,6.25,68,0,5,1.05,12.5,10
13217,Arshdeep Singh,2208,4,25,0,29,1,7.25,56,16,1,0.37,25,29
14659,Ravi Bishnoi,2208,3.5,25,0,37,2,10.57,32,16,2,0.71,12.5,18.5
10945,Washington Sundar,2208,2,14,0,19,0,9.5,28.57,14.29,2,0,0,0
11195,Shivam Dubey,2208,2,12,0,18,0,9,41.67,16.67,0,0,0,0
10808,Mohammed Siraj,2396,3,18,0,31,1,10.33,38.89,27.78,0,0.42,18,31
13217,Arshdeep Singh,2396,2,13,0,35,0,17.5,30.77,38.46,1,0,0,0
587,Ravindra Jadeja,2396,2.5,18,0,28,1,11.2,16.67,16.67,1,0.43,18,28
10754,Mukesh Kumar,2396,3,19,0,34,2,11.33,31.58,26.32,1,0.79,9.5,17
10808,Mohammed Siraj,2401,3,19,0,13,0,4.33,68.42,5.26,1,0,0,0
10754,Mukesh Kumar,2401,2,12,0,21,1,10.5,58.33,33.33,0,0.71,12,21
13217,Arshdeep Singh,2401,2,12,0,13,2,6.5,66.67,25,0,1.54,6,6.5
587,Ravindra Jadeja,2401,3,18,0,27,2,9,44.44,16.67,0,0.91,9,13.5
14504,Tilak Verma,2401,1,6,0,4,0,4,50,0,0,0,0,0
13217,Arshdeep Singh,2360,4,28,0,43,0,10.75,50,25,4,0,0,0
8808,Axar Patel,2360,4,24,0,32,0,8,41.67,20.83,0,0,0,0
14659,Ravi Bishnoi,2360,4,24,0,54,1,13.5,29.17,33.33,0,0.28,24,54
10754,Mukesh Kumar,2360,4,25,0,29,1,7.25,44,16,1,0.34,25,29
13217,Arshdeep Singh,2367,4,25,0,46,1,11.5,36,28,1,0.3,25,46
14659,Ravi Bishnoi,2367,4,25,0,32,3,8,36,12,1,0.98,8.33,10.67
8808,Axar Patel,2367,4,24,0,25,1,6.25,50,12.5,0,0.36,24,25
10754,Mukesh Kumar,2367,4,26,0,43,1,10.75,34.62,23.08,2,0.31,26,43
13217,Arshdeep Singh,2372,4,24,0,44,1,11,29.17,29.17,0,0.29,24,44
14659,Ravi Bishnoi,2372,4,27,0,35,2,8.75,44.44,14.81,3,0.69,13.5,17.5
9781,Avesh Khan,2372,4,26,0,37,1,9.25,46.15,23.08,2,0.34,26,37
8808,Axar Patel,2372,4,25,0,41,1,10.25,40,20,1,0.32,25,41
7836,Deepak Chahar,2379,4,24,0,44,2,11,29.17,29.17,0,0.57,12,22
10754,Mukesh Kumar,2379,4,28,0,43,0,10.75,42.86,21.43,4,0,0,0
14659,Ravi Bishnoi,2379,4,24,0,17,1,4.25,54.17,4.17,0,0.38,24,17
8808,Axar Patel,2379,4,24,0,17,3,4.25,54.17,4.17,0,1.14,8,5.67
9781,Avesh Khan,2379,4,26,0,33,1,8.25,34.62,11.54,2,0.32,26,33
13217,Arshdeep Singh,2380,4,25,0,40,2,10,36,24,1,0.62,12.5,20
9781,Avesh Khan,2380,4,24,0,39,0,9.75,33.33,25,0,0,0,0
10754,Mukesh Kumar,2380,4,24,0,32,3,8,45.83,20.83,0,1.02,8,10.67
14659,Ravi Bishnoi,2380,4,24,0,29,2,7.25,33.33,12.5,0,0.64,12,14.5
